CustomerID,Items
127269,"['48187N', '20685H', '48194E', '16219C', '48188P', '48173CT', '48138T', '48185J', '22690X', '21955E', '48116K', '21523L', '72802CE', '71477B', '82583N', '21181K', '23284M', '23077P', '85185BY', '72802BO', '16045M', '84077K', '21908X', '21621T', '23005J', '85099CQ', '48111G', '23084M', '22985B', '23056D', '21609B', '72807CP', '21391B', '79191CA', '23531S', '23530G', '21900A', '23133S', '21166I', '84926EY', '85152E', '22102P', '84997BG', '22988D', '22692J', '23529E', '21980L', '21232B', '21326V', '22188M', '85232BG', '23004D', '82482D', '23541C', '23400Q', '23525T', '21902W', '84946F', '21899D', '23122S', '22577B', '22178V', '84949O', '81952BK', '15034D', '48129Y', '23200Y', '22469S', '21700U', '22103E', '84978X', '84029EX', '22783G', '23170S', '22440M', '23343M', '22348L', '22385P', '84313CE', '23076Z', '23301G', '23270T', '21877C', '23326S', '35953W', '22197J', '23344R', '22411U', '22386V', '84879M', '22855Q', '21984W', '21498M', '22780U', '23055P', '23071Z', '21916D', '21718N', '84926AC', '23072K', '84050K', '84755J', '23300F', '22418R', '22086O', '82494LP', '47593BL', '23309L', '20971S', '23226J', '21703M', '23132P', '22983O', '84660CD', '21669G', '22986P', '20992N', '23119M', '22155O', '23354R', '21069U', '84660BF', '16237N', '21889K', '22659F', '23508J', '82484O', '23199M', '22620B', '82582N', '79321V', '21931F', '21985C', '22699D', '22652D', '23334M', '23172Q', '21891R', '22697A', '23175H', '23228Z', '23570W', '21084K', '23245W', '16235A', '23113X', '20676O', '23581R', '23171H', '20719E', '20726C', '23204B', '22599V', '23057O', '21905C', '22219N', '23321O', '22459S', '22488P', '23307D', '22579W', '22598V', '22609U', '22629C', '21137F', '72803AM', '23331G', '72351BE', '21791H', '21733F', '22867O', '22959R', '21500P', '47566BG', '22993E', '23264K', '23263V', '23322J', '23266U', '90191S', '23209X', '22355U', '20914Q', '21430A', '21731V', '21875C', '21897X', '21898V', '21986A', '22030B', '22128V', '22464B', '23208E', '22494U', '22571W', '22585G', '23437J', '22691G', '22775S', '23173W', '23176Z', '23203B', '23436I', '22727B', '72351AA', '47566Y', '23550P', '82551H', '85230GS', '84692Z', '23571G', '22109D', '23231J', '84660AU', '20728Z', '20733F', '22130P', '22158K', '23202Z', '84380W', '21390P', '71459J', '23333X', '21439F', '23506M', '22467G', '84596BQ', '22908G', '22173N', '22741O', '84536AK', '22728B', '21892U', '22037V', '23283I', '22766P', '21292J', '37327B', '21174F', '23438M', '21811V', '85132CX', '23371H', '22966E', '22094G', '23078Y', '84992D', '22601T', '22791E', '22174M', '22333G', '22294U', '22340Z', '22295V', '85107Y', '22356T', '21918L', '22916M', '21716W', '84997AH', '21871Y', '22050N', '47559BK', '22051L', '23159Q', '21787C', '21785M', '22101I', '23205F', '21715T', '23177K', '21668N', '23186V', '22938X', '51014CF', '23201S', '22918F', '51014AW', '23265T', '22365S', '22698C', '22558H', '21015F', '22466O', '22726C', '16259V', '23329B', '22707D', '23504V', '22732E', '22594A', '22662G', '72741B', '23351C', '23372N', '82599S', '23356F', '79163I', '85230BW', '22771L', '23319Q', '22382I', '21179M', '23310X', '22597M', '82483P', '82600H', '22098N', '22578A', '22625P', '22581L', '22967M', '22614B', '22087E', '21930O', '22661W', '22999A', '22603Q', '47590AN', '84970SL', '21983K', '84818C', '22602D', '22600F', '22039V', '22595D', '22041A', '22572W', '22940N', '22957K', '84663AD', '84987W', '22748P', '22334J', '22383K', '22745M', '22810S', '22305S', '22736S', '22851J', '22429T', '22733V', '47599BN', '22227K', '84596FA', '22187R', '22452K', '22457C', '22917U', '22919F', '22921W', '72232C', '22534C', '22156L', '22537N', '22366J', '22548G', '22554P', '22945X', '22557Z', '37370Z', '82001SP', '23093U', '21094A', '21090G', '21519A', '21012K', '23330V', '23193C', '23332P', '21619X', '21642S', '23187K', '20975Y', '23582G', '23174D', '20973S', '21745D', '20750C', '23207R', '23213E', '23353X', '21499T', '23269G', '23538H', '21231K', '21314Q', '21212D', '21394I', '85132BP', '21169G', '21165F', '21164D', '21162S', '21424R', '21428B', '23549U', '23320Z', '20725N', '23521G', '23374A', '10135P', '16169EL', '23373C', '35961N', '15056ND', '23148U', '15056BLH', '35970L', '21844I', '23154P', '23155O', '17084RT', '10133M', '23101Y', '23355Z', '23439A', '85230EY', '23157X']"
227268,['20668K']
327267,"['84077K', '17003M', '15036Z', '22740K', '22197J', '21175V', '21977R', '22266W', '85099BJ', '85123AY', '84879M', '22386V', '20724F', '85078B', '22355U', '23343M', '85204U', '22178V', '85099FC', '84755J', '22741O', '22952P', '20719E', '22489J', '84946F', '22161W', '71459J', '22659F', '20725N', '23199M', '84929V', '71477B', '22130P', '84978X', '23206T', '21181K', '16219C', '23210F', '23212C', '35923D', '72232C', '79000Z', '21931F', '21213V', '20712E', '21980L', '21981M', '84945I', '22985B', '20728Z', '21080R', '20723U', '22356T', '21975B', '84991R', '23203B', '22383K', '22411U', '23344R', '22418R', '23310X', '22469S', '22629C', '85099CQ', '22536B', '23209X', '23204B', '23268O', '22578A', '47566Y', '23205F', '20974J', '23378J', '23076Z', '21326V', '21094A', '79321V', '22993E', '22951B', '48187N', '22961C', '22966E', '21790Y', '23307D', '22969Z', '21889K', '21498M', '72741B', '22988D', '21703M', '22991T', '23263V', '23170S', '23200Y', '23201S', '23077P', '22865Y', '82583N', '22030B', '22560W', '22561Z', '22577B', '22158K', '84970SL', '22652D', '22151L', '84947R', '22699D', '22086O', '22759Z', '22294U', '22286L', '22555O', '22384W', '22423U', '21984W', '84029EX', '22417M', '22379G', '22268P', '22546L', '23207R', '22540W', '22385P', '22533C', '22267I', '23225T', '23230A', '23366F', '22554P', '23231J', '22534C', '22470E', '23293D', '21523L', '21509I', '22440M', '22531M', '23202Z', '21499T', '22287S', '23275I', '23280V', '23321O', '23281Z', '23313G', '22467G', '21479J', '23245W', '22563R', '22556N', '22087E', '22077P', '22771L', '21914B', '22791E', '21918L', '22029R', '21928E', '21929W', '21930O', '21932M', '21933N', '22910D', '22909Z', '22908G', '22866X', '22970T', '22983O', '22558H', '22728B', '23171H', '21700U', '21976M', '21733F', '23121M', '22564D', '21791H', '23078Y', '22610S', '21845L', '22992G', '22697A', '22698C', '22114V', '22090X', '21232B', '23167J', '20685H', '40016U', '35970L', '20975Y', '16045M', '20972O', '82482D', '21166I', '20971S', '85194SR', '79164C', '20726C', '84692Z', '15056ND', '20727V', '21124F', '21136P', '20676O', '16237N', '20711L', '23581R']"
162738,"['22492E', '21212D']"
252747,"['84347V', '22492E', '85099BJ', '85099FC', '22386V', '84879M', '22759Z', '15034D', '84568Z', '22379G', '21787C', '22865Y', '22866X', '84946F', '22381J', '22659F', '22178V', '22633V', '22536B', '85099CQ', '84947R', '22423U', '23170S', '47556BE', '21928E', '23203B', '23199M', '23171H', '21977R', '22385P', '21931F', '84755J', '22149E', '22632O', '21929W', '22629C', '22610S', '71477B', '21790Y', '23209X', '21181K', '22791E', '22920I', '20974J', '22065D', '84945I', '22411U', '22560W', '22302N', '22301J', '21918L', '20711L', '22998M', '21703M', '21642S', '85175B', '23201S', '84992D', '22555O', '16219C', '22630B', '23207R', '21212D', '21068Y', '48111G', '22961C', '84988Y', '23202Z', '22303W', '23175H', '22304I', '22294U', '23206T', '22300C', '22142B', '22151L', '22727B', '23174D', '23172Q', '47566Y', '22646J', '22940N', '22621P', '22966E', '22578A', '22564D', '22992G', '22493I', '23328X', '22741O', '23077P', '23122S', '23245W', '22383K', '23117T', '22692J', '22150K', '21380E', '21499T', '21704M', '21066X', '21070F', '20975Y', '21731V', '20963G', '20961S', '82482D', '84950I', '21080R', '84929V', '20725N', '21094A', '84991R', '17096D', '85152E', '21156K', '47591DY', '71459J', '21232B', '11001M', '16045M', '75049LA', '21137F', '48116K']"
347247,"['22961C', '22727B', '85175B', '85152E', '22457C', '23497Q', '23552T', '23498F', '21175V']"
442755,['20668K']
342756,"['22610S', '16045M', '22065D', '22578A', '85175B', '23268O']"
57240,['22492E']
357237,['84077K']
